Source,Category,Status,Hash,Claim_Link,Action_Required,Notes
SPINE_GPEv7_PHASE1_EVIDENCE_FOUNDATION_COLAB_v1.0.0.ipynb,Phase1_Core,Available,Not_Computed_Local,PHASE1_LOCK_FREEZE,None - Core evidence foundation,Duplicates (1)(2) are orphans
SPINE_GPEv7_PHASE1_EXTENDED_EVIDENCE_COLAB_v1.0.0.ipynb,Phase1_Extended,Available,Not_Computed_Local,PHASE1_Extended,None - Extended evidence module,(1) is orphan; (2) has 2MB size difference - needs integrity check
FASE_2_.ipynb,Phase2_Analytical,Available,Not_Computed_Local,PHASE2_Intake,None - Main Phase 2 analytical doc,References Evidence Cube geography_fixed_v101
FASE_2_E_3_FINALE.ipynb,Phase2_Phase3_Hybrid,Available,Not_Computed_Local,PHASE2_3_Combined,Review_Needed,Potentially non-standard combined execution - verify against canonical Phase 2/3 separation
FASE_3.ipynb,Phase3_Mechanism,Available,Not_Computed_Local,PHASE3_Intake_Gate,None - Phase 3 mechanism intake,References PHASE2_MASTER_HASH a8e928d6...
FASE_3_FINALE.ipynb,Phase3_Mechanism,Available,Not_Computed_Local,PHASE3_Final,Review_Needed,Verify if supersedes FASE_3.ipynb or is duplicate
FASE_4.ipynb,Phase3_Spatial,Available,Not_Computed_Local,PHASE3_Spatial_Mechanism,None - Spatial mechanism engine (Digital Land Rent),Actually Phase 3 Notebook 04 per content header
Untitled2.ipynb,Unclassified,Available,Not_Computed_Local,None,Delete_Urgent,Orphan notebook - no SPINE-GPE naming convention
Untitled3.ipynb,Unclassified,Available,Not_Computed_Local,None,Delete_Urgent,Orphan notebook - no SPINE-GPE naming convention
Untitled4.ipynb,Unclassified,Available,Not_Computed_Local,None,Delete_Urgent,Orphan notebook - no SPINE-GPE naming convention
GDrive_Master_Lock_Phase0,Remote_Manifest,BLOCKED_Remote,N/A,PHASE0_LOCK,User_Must_Verify,Expected hash: 38d3e5e5380032fd61997a8e913113d5430f8670af9c51870a47edcc97232c53
GDrive_Master_Freeze_Phase0,Remote_Manifest,BLOCKED_Remote,N/A,PHASE0_FREEZE,User_Must_Verify,Expected hash: 3ee7e7eca7f71d6e4216621e30bb71541829fa5709be13d2a4ffb46155312454
GDrive_Phase1_Lock,Remote_Manifest,BLOCKED_Remote,N/A,PHASE1_LOCK,User_Must_Verify,Referenced in PHASE1_EVIDENCE_FOUNDATION notebook
GDrive_Phase1_Freeze,Remote_Manifest,BLOCKED_Remote,N/A,PHASE1_FREEZE,User_Must_Verify,Referenced in PHASE1_EVIDENCE_FOUNDATION notebook
GDrive_Phase2_Master_Certificate,Remote_Manifest,BLOCKED_Remote,N/A,PHASE2_CERT,User_Must_Verify,Expected hash: a8e928d65835657795f887b764b23a3f15c0410b9acb2d237ca07c90c7259b5b
GDrive_Evidence_Cube_v101,Remote_Parquet,BLOCKED_Remote,N/A,PHASE1_Evidence,User_Must_Verify,path: 05_outputs/tables/phase1_publication_synthesis_v101/phase1_extended_evidence_cube_phase1_extended_evidence_geography_fixed_v101.parquet
GDrive_Phase2_Freeze_JSON,Remote_Manifest,BLOCKED_Remote,N/A,PHASE2_FREEZE,User_Must_Verify,path: 00_admin/phase2_intake/PHASE2_MASTER_FREEZE.json
GDrive_Phase2_Cert_JSON,Remote_Manifest,BLOCKED_Remote,N/A,PHASE2_CERT,User_Must_Verify,path: 00_admin/phase2_intake/PHASE2_MASTER_CERTIFICATE.json
GDrive_Phase3_NB03_Lock,Remote_Manifest,BLOCKED_Remote,N/A,PHASE3_NB03,User_Must_Verify,Required by FASE_4.ipynb
GDrive_PNADc_Certified_2022,Remote_Parquet,BLOCKED_Remote,N/A,PNADc_2022,User_Must_Verify,path: 03_processed/10_pnadc_certified/certified_pnadc_platform_2022.parquet
GDrive_PNADc_Certified_2024,Remote_Parquet,BLOCKED_Remote,N/A,PNADc_2024,User_Must_Verify,path: 03_processed/10_pnadc_certified/certified_pnadc_platform_2024.parquet
GDrive_Spatial_Syntax_Metrics,Remote_Parquet,BLOCKED_Remote,N/A,Spatial_Syntax,User_Must_Verify,path: 03_processed/spatial_syntax_metrics.parquet
MASTER_CONSOLIDATION_FASES_0_3,Claim_Register,BLOCKED_Remote,N/A,All_Claims,User_Must_Provide_Path,Required for claim-to-code cross-reference - file not found in local repo
SPINE_GPEv7_PHASE1_EXTENDED_EVIDENCE_COLAB_v1.0.0(2).ipynb,Phase1_Extended_Duplicate,Available_SizeAnomaly,Size_Mismatch_2MB,PHASE1_Extended,Investigate_Integrity,File size 2024998 bytes vs 10541 bytes for canonical - possible corruption or content divergence
notebooks_spineV7.zip,Archive_Source,Available_Local,c80df5f4...,Unknown,Extract_and_Audit,974KB zip archive - SHA256: c80df5f44a84c38fcf984aa771a06bce005c1cf153682be61d7649595d464ba5 - Contains 69 notebooks identical to /workspace/notebooks/ directory
